Date,Sector,Sym,PctRet
2014-11-19,FX,AD,0.0015119999999999999
2014-11-21,FX,AD,-0.005056000000000001
2014-11-24,FX,AD,0.000697
2014-11-25,FX,AD,0.0009720000000000001
2014-11-26,FX,AD,-0.005184
2014-12-01,FX,AD,-0.005148
2014-12-01,FX,AD,-0.001216
2014-12-02,FX,AD,0.000612
2014-12-05,FX,AD,0.001296
2014-12-09,FX,AD,-0.005018
2014-12-15,FX,AD,-0.005301
2014-12-15,FX,AD,-0.004446
2014-12-16,FX,AD,-0.005184
2014-12-29,FX,AD,-0.005183
2014-12-30,FX,AD,-0.001584
2014-12-31,FX,AD,-0.005538
2014-12-31,FX,AD,-0.002343
2015-01-02,FX,AD,0.001296
2015-01-05,FX,AD,-0.001026
2015-01-09,FX,AD,0.007056000000000001
2015-01-09,FX,AD,0.002542
2015-01-12,FX,AD,0.001332
2015-01-15,FX,AD,-0.005111999999999999
2015-01-21,FX,AD,0.007051999999999999
2015-01-21,FX,AD,0.0008880000000000001
2015-01-23,FX,AD,0.007092
2015-01-23,FX,AD,-0.005016
2015-01-29,FX,AD,0.007162999999999999
2015-01-29,FX,AD,-0.0016600000000000002
2015-02-06,FX,AD,-0.000328
2015-02-11,FX,AD,-0.005184
2015-02-11,FX,AD,-0.00010800000000000001
2015-02-12,FX,AD,0.007056000000000001
2015-02-12,FX,AD,-0.0032770000000000004
2015-02-17,FX,AD,-0.0059039999999999995
2015-02-17,FX,AD,0.0009019999999999999
2015-02-19,FX,AD,-0.005248
2015-02-20,FX,AD,-0.006603
2015-02-20,FX,AD,-0.001026
2015-02-23,FX,AD,-0.005301
2015-02-24,FX,AD,-0.005301
2015-02-24,FX,AD,0.006096
2015-02-25,FX,AD,9.6e-05
2015-02-26,FX,AD,-0.006156
2015-02-26,FX,AD,0.007051999999999999
2015-03-03,FX,AD,-0.0038880000000000004
2015-03-04,FX,AD,-0.005016
2015-03-05,FX,AD,0.006954000000000001
2015-03-05,FX,AD,-0.000533
2015-03-06,FX,AD,0.007051999999999999
2015-03-06,FX,AD,0.002088
2015-03-10,FX,AD,-0.005148
2015-03-10,FX,AD,0.00043200000000000004
2015-03-18,FX,AD,0.007056000000000001
2015-03-19,FX,AD,0.007128
2015-03-20,FX,AD,0.007092
2015-03-20,FX,AD,-0.000672
2015-03-30,FX,AD,0.003157
2015-04-08,FX,AD,-0.0044280000000000005
2015-04-08,FX,AD,-0.005043
2015-04-09,FX,AD,-0.005184
2015-04-10,FX,AD,-0.005184
2015-04-13,FX,AD,-0.003296
2015-04-14,FX,AD,0.001056
2015-04-15,FX,AD,-0.0009570000000000001
2015-04-16,FX,AD,0.0035840000000000004
2015-04-23,FX,AD,0.000816
2015-04-24,FX,AD,-0.000741
2015-04-27,FX,AD,-0.001104
2015-04-28,FX,AD,0.007162999999999999
2015-04-30,FX,AD,-0.001898
